MD,CLASS,CNL,CPOR,DENS,GR,KAH,LL9D,NEU,RT,SONI,CAT,LOGKAH
10751.5,2,21.064,27,2.297,53.98,12,1.531,0.21064,1.83092,80.705,5,1.079181246
10753,2,20.038,28.6,2.298,56.256,21,1.36,0.20038,1.6403,89.881,5,1.322219295
10754,2,18.25,25.5,2.264,57.55,7.2,1.396,0.1825,1.67672,88.264,5,0.857332496
10755.5,2,17.992,23,2.287,57.55,9.2,1.333,0.17992,1.60387,86.728,5,0.963787827
10756.5,2,17.244,25.3,2.302,55.187,5.6,1.385,0.17244,1.6668,86.439,5,0.748188027
10758,1,18.05,15.2,2.33,54.4,0.16,1.418,0.1805,1.5602,81.838,5,-0.795880017
10759,2,18.649,14.8,2.318,52.825,0.13,1.287,0.18649,1.55378,88.061,5,-0.886056648
10760,2,17.559,21.6,2.281,50.802,8.9,1.283,0.17559,1.40736,87.626,5,0.949390007
10761.5,2,18.347,19.7,2.294,50.462,1.9,1.158,0.18347,1.40241,88.826,5,0.278753601
10763,2,18.874,16.1,2.317,58.337,0.21,1.329,0.18874,1.60976,87.553,5,-0.677780705
10764,1,19.249,11,2.398,65.144,1.7,1.485,0.19249,1.6052,82.409,5,0.230448921
10766,2,21.723,19,2.371,66.212,1.4,1.396,0.21723,1.69198,84.968,5,0.146128036
10767,2,20.711,16.5,2.382,69.363,0.58,1.444,0.20711,1.74971,85.54,5,-0.236572006
10770,1,23.998,16.4,2.405,66.681,0.6,1.426,0.23998,1.72847,85.214,5,-0.22184875
10771,2,22.384,8,2.36,61.488,0.04,1.441,0.22384,1.74636,85.419,5,-1.397940009
10772,2,22.316,18.4,2.337,61.488,1.2,1.514,0.22316,1.83363,81.625,5,0.079181246
10773.5,2,23.351,15.2,2.351,60.32,1.5,1.554,0.23351,1.65414,85.171,5,0.176091259
10775,2,24.344,16.9,2.341,61.488,1.1,1.441,0.24344,1.74597,85.872,5,0.041392685
10776.5,1,25.403,4.1,2.341,62.275,0.01,1.482,0.25403,1.79498,84.519,5,-2
10780.5,2,24.91,17.8,2.329,59.912,1.6,1.481,0.2491,1.75632,91.013,5,0.204119983
10781.5,2,26.235,16,2.339,59.912,0.57,1.491,0.26235,1.84026,92.818,5,-0.244125144
10783,2,26.849,15.4,2.291,61.884,0.5,1.511,0.26849,1.89951,92.158,5,-0.301029996
10784.5,2,27.74,16.4,2.287,63.062,0.87,1.449,0.2774,1.82283,102.589,5,-0.060480747
10785.5,2,26.3,17.3,2.256,62.275,1.4,1.435,0.263,1.80939,93.963,5,0.146128036
10786.5,2,27.08,16.3,2.222,59.912,1,1.324,0.2708,1.67238,89.56,5,0
